train_28872, cloudy primary road, artisinal_mine partly_cloudy primary water
train_29642, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear primary selective_logging
train_1219, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, partly_cloudy primary
train_29544, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_1154, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary water
train_1329, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary water
train_3113, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture cultivation haze primary road water
train_2317, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary water
train_248, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, haze primary
train_39617, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary slash_burn
train_25764, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine partly_cloudy primary road water
train_27177, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine bare_ground clear habitation primary road water
train_3270, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, haze primary
train_1331, blooming blow_down clear primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary road
train_26970, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary road water
train_2305, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear habitation primary road water
train_28156, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary road water
train_785, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_28221, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_766, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture partly_cloudy primary road
train_1228, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear primary road
train_2051, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_31081, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_1197, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_693, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear water
train_31246, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_29268, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_1318, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary
train_1043, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear habitation primary road
train_26898, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary selective_logging
train_1407, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary water
train_381, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_10771, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, bare_ground clear primary water
train_1045, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary road water
train_39638, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary road slash_burn
train_225, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_371, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary
train_287, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary
train_29756, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary water
train_4626, cloudy haze road, cloudy
train_2268, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear habitation primary road
train_2979, cloudy haze primary road, haze primary
train_11010, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, bare_ground clear primary
train_1280, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_30969, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary road water
train_29743, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_3207, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, haze primary
train_2875, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture habitation partly_cloudy primary road
train_1441, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_974, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, bare_ground clear primary road water
train_27352, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear cultivation primary
train_4038, agriculture blooming blow_down cultivation partly_cloudy primary selective_logging slash_burn, cloudy
train_244, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary
train_10925, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, bare_ground clear road
train_3265, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, haze primary
train_3796, cloudy haze primary road, cloudy
train_26012, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary water
train_1469, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary
train_3316, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, haze primary
train_800, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture haze primary
train_3344, cloudy haze road, haze primary
train_28500, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear cultivation primary road selective_logging
train_762, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear habitation primary road
train_1166, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary water
train_2435, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_1237, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary road
train_10924, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, bare_ground clear primary selective_logging slash_burn water
train_12563, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine bare_ground clear cultivation primary water
train_2250, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary water
train_229, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary
train_1266, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture partly_cloudy primary
train_28268, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_25480, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_29964, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_322, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary road water
train_26391, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming partly_cloudy primary
train_1317, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_26245, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary road water
train_701, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear habitation primary water
train_4717, cloudy haze road, cloudy
train_231, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary
train_31790, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary road selective_logging
train_27999, clear primary road, artisinal_mine clear primary water
train_4263, cloudy haze primary road, cloudy
train_1176, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_1179, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary road
train_27247, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, artisinal_mine partly_cloudy primary water
train_324, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear primary water
train_786, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary
train_3577, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, haze primary
train_29099, agriculture blooming blow_down clear partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary
train_26869, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_31149, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_246, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary
train_1108, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear primary road
train_4258, cloudy haze road, cloudy
train_1240, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary
train_31137, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary selective_logging
train_31305, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine clear primary road water
train_1384, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture haze primary water
train_1247, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary water
train_1012, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear cultivation primary road water
train_802, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary
train_222, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary road water
train_3259, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, haze primary
train_858, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear primary road
train_304, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear primary
train_24592, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary selective_logging
train_1016, blooming blow_down clear cultivation partly_cloudy primary selective_logging, clear primary road
train_3146, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, haze primary
train_250, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary
train_349, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear primary
train_851, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary road
train_2438, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear habitation primary road
train_12082, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, bare_ground clear primary
train_2798, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear habitation primary road water
train_24901, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary selective_logging
train_2155, agriculture blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary
train_4334, clear primary road, cloudy
train_28456, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, clear primary selective_logging
train_1177, agriculture blooming blow_down cultivation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary
train_2054, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary
train_316, blooming blow_down clear cultivation partly_cloudy primary selective_logging slash_burn, agriculture clear primary
