train_28872, clear primary, artisinal_mine partly_cloudy primary water
train_29642, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear primary selective_logging
train_1219, blooming blow_down clear cultivation primary selective_logging slash_burn, partly_cloudy primary
train_29544, blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_1154, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation primary water
train_1329, blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary water
train_3113, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation haze primary road water
train_2317, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation primary water
train_248, blooming blow_down clear cultivation primary selective_logging slash_burn, haze primary
train_39617, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation primary slash_burn
train_25764, blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine partly_cloudy primary road water
train_27177, blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine bare_ground clear habitation primary road water
train_3270, blooming blow_down clear cultivation primary selective_logging slash_burn, haze primary
train_1331, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary road
train_26970, blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine clear primary road water
train_2305, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear habitation primary road water
train_28156, blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine clear primary road water
train_785, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_28221, blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_766, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture partly_cloudy primary road
train_1228, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear primary road
train_2051, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_31081, blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_1197, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_693, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear water
train_31246, blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_29268, blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_1318, blooming blow_down clear cultivation primary selective_logging slash_burn, partly_cloudy primary
train_1043, blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear habitation primary road
train_26898, blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary selective_logging
