train_28872, artisinal_mine partly_cloudy primary road water, artisinal_mine partly_cloudy primary water
train_29642, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear primary selective_logging
train_1219, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, partly_cloudy primary
train_29544, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_1154, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation primary water
train_1329, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary water
train_3113, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation haze primary road water
train_2317, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation primary water
train_248, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, haze primary
train_39617, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation primary slash_burn
train_25764, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine partly_cloudy primary road water
train_27177, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine bare_ground clear habitation primary road water
train_3270, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, haze primary
train_1331, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary road
train_26970, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine clear primary road water
train_2305, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear habitation primary road water
train_28156, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine clear primary road water
train_785, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_28221, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_766, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture partly_cloudy primary road
train_1228, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear primary road
train_2051, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_31081, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_1197, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_693, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear water
train_31246, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_29268, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_1318, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, partly_cloudy primary
train_1043, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear habitation primary road
train_26898, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary selective_logging
train_1407, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation primary water
train_381, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_10771, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, bare_ground clear primary water
train_1045, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation habitation primary road water
train_39638, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation habitation primary road slash_burn
train_225, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_371, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary
train_287, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, partly_cloudy primary
train_29756, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine clear primary water
train_4626, cloudy haze, cloudy
train_2268, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear habitation primary road
train_2979, cloudy haze partly_cloudy primary road, haze primary
train_11010, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, bare_ground clear primary
train_1280, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_30969, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine clear primary road water
train_29743, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear primary
train_3207, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, haze primary
train_2875, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture habitation partly_cloudy primary road
train_1441, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_974, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, bare_ground clear primary road water
train_27352, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, blooming clear cultivation primary
train_4038, agriculture artisinal_mine blooming blow_down clear cultivation primary selective_logging slash_burn, cloudy
train_244, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary
train_10925, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, bare_ground clear road
train_3265, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, haze primary
train_3796, artisinal_mine cloudy haze partly_cloudy primary road, cloudy
train_26012, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, artisinal_mine clear primary water
train_1469, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, partly_cloudy primary
train_3316, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, haze primary
train_800, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture haze primary
train_3344, cloudy haze partly_cloudy, haze primary
train_28500, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, clear cultivation primary road selective_logging
train_762, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear habitation primary road
train_1166, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary water
train_2435, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_1237, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, agriculture clear cultivation primary road
train_10924, agriculture blooming blow_down clear cultivation primary selective_logging slash_burn, bare_ground clear primary selective_logging slash_burn water
